event_id	ss_player_id	order_idx	gdmf	minutes	rating	avg_x	avg_y	formation
14572701	555386	10	F	90	6.6	65.4	53.4	4-2-3-1
14572748	833956	1	D	45	6.1	49.1	15.5	4-2-3-1
14572748	555386	-1	F	26	6.3	64.6	53.6	4-2-3-1
14572811	555386	10	F	67	6.2	76.1	64.3	4-2-3-1
14572811	833956	-1	D	24	6.9	73.4	21.1	4-2-3-1
14598940	833956	1	D	90	5.8	51.5	20.6	4-2-3-1
14598940	555386	-1	F	23	6.7	68	69.3	4-2-3-1
15197271	833956	1	D	79	7.2	42.4	16.9	4-2-3-1
15197271	555386	-1	F	25	6.2	58.2	36.5	4-2-3-1
15359735	555386	-1	F	25	6.3	51.9	60.9	4-2-3-1
15631836	555386	10	F	77	7.4	70.3	45.3	4-2-3-1
15631843	555386	-1	F	34	7.3	66.8	55.1	4-2-3-1
15631843	833956	-1	D	16	6.7	48.7	11.5	4-2-3-1
15632617	833956	1	D	90	6.4	35.6	17.1	4-2-3-1
15632617	555386	10	F	90	8.5	65.5	69.2	4-2-3-1
15632621	833956	1	D	90	7.5	35	20.7	4-2-3-1
15632621	555386	10	F	64	7.4	64.1	53.5	4-2-3-1
15632623	833956	1	D	90	6.7	44.2	14.3	4-2-3-1
15632623	555386	10	F	90	6.4	68.6	58.8	4-2-3-1
15632625	833956	1	D	90	7.2	43.5	14.9	4-2-3-1
15632625	555386	10	F	90	7.3	65.4	50.8	4-2-3-1
15632626	833956	1	D	90	6.9	50.6	20.2	4-2-3-1
15632626	555386	10	F	90	6.8	68.7	50.5	4-2-3-1
