948261:14023929|2,5,2,4,0,9,10,0,2,0,7,5,0,1,0,9,5,2,0,0,0,2,0,0,0
948261:14025172|8,5,3,1,2,1,3,0,3,5,2,1,4,4,0,3,2,1,0,0,0,1,3,0,0
948261:14025068|4,8,3,1,2,2,3,3,5,1,2,5,2,7,2,1,2,2,0,0,0,0,0,0,0
948261:14023928|3,2,1,4,2,2,9,2,4,11,0,0,1,4,1,1,0,2,0,1,0,0,1,5,2
948261:14025129|0,5,0,0,0,6,7,1,0,1,9,7,2,3,0,7,7,0,0,0,8,1,3,0,0
948261:14025030|5,3,4,1,1,7,4,2,2,1,0,4,2,1,3,9,2,0,0,0,3,0,0,0,0
948261:14025136|1,0,1,0,3,2,3,4,6,2,3,1,4,1,1,5,6,2,0,3,1,1,0,2,1
948261:14023986|4,4,1,1,1,4,3,6,2,3,2,5,5,1,2,6,4,0,0,2,1,0,1,0,0
948261:14025156|8,3,1,2,2,4,7,2,3,6,2,5,2,1,1,6,7,2,0,2,7,1,0,1,0
948261:14023927|7,5,0,2,0,8,5,3,2,1,2,6,6,3,0,6,1,1,0,0,0,1,2,0,0
948261:14025125|10,12,2,7,3,3,7,2,7,7,5,3,4,4,2,2,1,0,1,3,0,0,0,2,0
948261:14025078|0,1,2,4,6,1,8,0,1,0,1,2,1,2,4,4,2,1,7,3,0,0,2,0,4
948261:14025119|1,5,1,4,10,1,7,12,4,7,0,6,6,6,3,2,2,3,4,2,0,2,2,0,0
948261:14025091|3,4,2,1,2,5,11,4,0,1,2,3,2,2,0,3,0,0,1,0,0,0,0,0,0
948261:14023994|2,0,2,2,6,0,4,4,9,3,0,0,6,4,2,2,0,6,1,1,0,0,3,1,0
948261:14025155|2,4,0,2,3,4,6,3,7,8,1,1,3,2,3,0,5,0,2,3,0,1,0,6,4
948261:14025058|9,8,2,0,0,10,9,5,1,0,12,5,2,0,0,4,1,0,1,0,2,0,0,0,0
948261:12436443|0,0,0,0,2,4,2,4,0,5,0,3,3,2,3,0,2,0,0,4,0,0,3,2,7
948261:14023979|6,4,1,3,0,5,8,3,5,6,0,0,3,5,4,1,3,0,3,3,0,1,0,1,0
948261:14025014|4,3,1,6,3,1,1,0,3,7,1,0,1,1,4,0,1,0,0,2,0,0,1,2,2
